ID,workload
0,36
1,27
2,30
3,14
4,30
5,8
6,7
7,9
8,12
9,7
10,6
11,21
12,13
13,7
14,14
15,6
16,6
17,21
18,16
19,11
20,14
21,9
22,10
23,33
24,8
25,21
26,29
27,22
28,14
29,50
30,30
31,41
32,31
33,20
34,29
35,18
36,22
37,24
38,36
39,14
40,38
41,26
42,19
43,29
44,18
45,27
46,32
47,36
48,37
49,36
50,25
51,40
52,33
53,27
54,13
55,21
56,20
57,27
58,54
59,54
60,64
61,43
62,58
63,85
64,61
65,43
66,66
67,63
68,88
69,65
70,62
71,57
72,69
73,56
74,40
75,68
76,65
77,101
78,112
79,95
80,98
81,76
82,96
83,71
84,128
85,102
86,87
87,107
88,94
89,76
90,81
91,99
92,109
93,64
94,52
95,38
96,35
97,22
98,20
99,23
100,22
101,18
102,14
103,6
104,4
105,13
106,4
107,8
108,4
109,13
110,18
111,19
112,19
113,24
114,22
115,25
116,21
117,27
118,48
119,37
120,29
121,36
122,40
123,34
124,58
125,39
126,25
127,60
128,47
129,36
130,44
131,61
132,37
133,20
134,34
135,13
136,35
137,31
138,26
139,43
140,32
141,42
142,37
143,29
144,30
145,56
146,35
147,39
148,27
149,36
150,52
151,18
152,54
153,36
154,49
155,56
156,53
157,66
158,69
159,57
160,53
161,61
162,73
163,66
164,52
165,42
166,32
167,35
168,42
169,64
170,44
171,49
172,51
173,53
174,53
175,46
176,59
177,42
178,59
179,36
180,35
181,48
182,37
183,56
184,41
185,27
186,27
187,34
188,36
189,28
190,23
191,4
192,7
193,8
194,0
195,6
196,6
197,8
198,4
199,4
200,1
201,2
202,10
203,10
204,11
205,8
206,2
207,5
208,4
209,14
210,18
211,38
212,33
213,48
214,30
215,48
216,22
217,10
218,14
219,29
220,30
221,14
222,13
223,10
224,11
225,9
226,28
227,4
228,14
229,10
230,21
231,11
232,17
233,10
234,21
235,19
236,35
237,12
238,12
239,22
240,17
241,23
242,16
243,19
244,17
245,19
246,11
247,22
248,13
249,24
250,27
251,42
252,49
253,21
254,38
255,24
256,31
257,36
258,40
259,46
260,44
261,43
262,29
263,19
264,39
265,20
266,28
267,39
268,30
269,26
270,42
271,40
272,36
273,53
274,33
275,33
276,32
277,42
278,42
279,28
280,22
281,27
282,19
283,34
284,29
285,27
286,13
287,10
288,19
289,10
290,1
291,3
292,2
293,9
294,12
295,5
296,1
297,6
298,4
299,6
300,5
301,8
302,5
303,6
304,2
305,0
306,0
307,0
308,0
309,0
310,2
311,16
312,28
313,29
314,15
315,13
316,22
317,22
318,17
319,20
320,19
321,27
322,20
323,13
324,7
325,12
326,10
327,16
328,9
329,27
330,12
331,8
332,12
333,25
334,10
335,31
336,11
337,21
338,8
339,18
340,17
341,17
342,11
343,11
344,19
345,23
346,13
347,26
348,37
349,43
350,25
351,29
352,23
353,26
354,47
355,45
356,50
357,60
358,40
359,51
360,34
361,34
362,28
363,25
364,49
365,44
366,55
367,45
368,52
369,56
370,42
371,37
372,33
373,38
374,38
375,40
376,25
377,26
378,28
379,14
380,38
381,19
382,11
383,10
384,10
385,6
386,8
387,1
388,0
389,3
390,7
391,3
392,0
393,5
394,7
395,1
396,9
397,6
398,10
399,8
400,13
401,35
402,7
403,8
404,17
405,12
406,14
407,8
408,26
409,26
410,19
411,15
412,14
413,36
414,27
415,23
416,14
417,13
418,0
419,0
420,0
421,4
422,13
423,25
424,26
425,27
426,14
427,17
428,14
429,11
430,7
431,22
432,4
433,10
434,20
435,11
436,16
437,28
438,9
439,38
440,7
441,32
442,17
443,49
444,36
445,31
446,37
447,44
448,48
449,61
450,61
451,69
452,54
453,41
454,57
455,41
456,34
457,72
458,42
459,48
460,48
461,53
462,67
463,72
464,60
465,45
466,65
467,46
468,39
469,48
470,22
471,37
472,21
473,33
474,52
475,67
476,58
477,23
478,18
479,16
480,9
481,4
482,9
483,7
484,9
485,6
486,5
487,7
488,11
489,4
490,4
491,1
492,2
493,4
494,7
495,12
496,7
497,12
498,17
499,19
500,9
501,26
502,17
503,30
504,4
505,7
506,17
507,7
508,9
509,14
510,14
511,18
512,15
513,15
514,13
515,8
516,22
517,29
518,16
519,15
520,19
521,17
522,12
523,22
524,19
525,10
526,9
527,11
528,12
529,7
530,20
531,11
532,25
533,31
534,25
535,27
536,19
537,18
538,27
539,24
540,45
541,34
542,36
543,26
544,29
545,38
546,62
547,40
548,44
549,25
550,33
551,50
552,57
553,67
554,68
555,83
556,111
557,57
558,44
559,56
560,56
561,74
562,85
563,73
564,56
565,52
566,59
567,51
568,52
569,63
570,52
571,68
572,72
573,61
574,15
575,13
576,16
577,15
578,0
579,3
580,1
581,3
582,1
583,1
584,2
585,1
586,20
587,10
588,14
589,8
590,7
591,7
592,10
593,11
594,16
595,11
596,34
597,32
598,18
599,20
600,19
601,12
602,23
603,31
604,8
605,15
606,13
607,22
608,19
609,15
610,19
611,10
612,16
613,18
614,20
615,19
616,20
617,20
618,8
619,40
620,20
621,16
622,26
623,40
624,13
625,19
626,6
627,34
628,33
629,48
630,26
631,28
632,16
633,22
634,51
635,38
636,40
637,53
638,49
639,59
640,33
641,56
642,42
643,42
644,45
645,83
646,71
647,55
648,42
649,71
650,64
651,65
652,98
653,79
654,83
655,116
656,84
657,78
658,88
659,108
660,96
661,101
662,73
663,94
664,63
665,74
666,113
667,82
668,75
669,75
670,43
671,19
672,24
673,27
674,16
675,10
676,26
677,20
678,6
679,11
680,12
681,10
682,9
683,3
684,10
685,7
686,5
687,5
688,7
689,20
690,9
691,11
692,6
693,7
694,14
695,9
696,14
697,12
698,15
699,28
700,18
701,26
702,22
703,21
704,29
705,30
706,25
707,10
708,15
709,31
710,28
711,26
712,21
713,37
714,24
715,21
716,9
717,16
718,16
719,26
720,32
721,14
722,19
723,26
724,12
725,14
726,30
727,25
728,37
729,32
730,66
731,48
732,30
733,32
734,38
735,41
736,35
737,52
738,72
739,31
740,66
741,43
742,41
743,80
744,31
745,50
746,69
747,63
748,78
749,93
750,107
751,62
752,83
753,102
754,91
755,102
756,119
757,83
758,105
759,95
760,108
761,75
762,88
763,102
764,92
765,91
766,44
767,39
768,27
769,12
770,26
771,25
772,17
773,19
774,13
775,4
776,1
777,4
778,7
779,15
780,6
781,16
782,6
783,2
784,12
785,12
786,5
787,9
788,14
789,5
790,17
791,15
792,16
793,13
794,26
795,22
796,20
797,16
798,7
799,16
800,21
801,17
802,17
803,43
804,21
805,24
806,36
807,20
808,27
809,32
810,27
811,29
812,43
813,31
814,32
815,36
816,41
817,36
818,25
819,50
820,33
821,32
822,30
823,42
824,27
825,39
826,74
827,54
828,65
829,68
830,59
831,87
832,67
833,43
834,38
835,63
836,66
837,39
838,68
839,101
840,68
841,83
842,63
843,59
844,74
845,61
846,86
847,108
848,102
849,102
850,87
851,63
852,77
853,87
854,81
855,97
856,68
857,70
858,76
859,100
860,111
861,89
862,53
863,21
864,23
865,13
866,24
867,19
868,8
869,20
870,8
871,16
872,6
873,4
874,7
875,11
876,13
877,4
878,17
879,11
880,14
881,3
882,11
883,10
884,14
885,7
886,8
887,8
888,16
889,17
890,14
891,14
892,9
893,23
894,11
895,11
896,3
897,12
898,17
899,19
900,10
901,21
902,14
903,12
904,8
905,5
906,23
907,43
908,32
909,16
910,18
911,26
912,18
913,14
914,17
915,22
916,12
917,31
918,21
919,21
920,11
921,17
922,28
923,29
924,23
925,30
926,32
927,27
928,24
929,35
930,41
931,43
932,27
933,34
934,38
935,26
936,62
937,49
938,47
939,40
940,22
941,45
942,64
943,37
944,28
945,38
946,31
947,45
948,29
949,55
950,35
951,31
952,34
953,24
954,12
955,35
956,28
957,27
958,17
959,15
960,5
961,7
962,5
963,4
964,6
965,2
966,15
967,13
968,4
969,5
970,6
971,8
972,14
973,17
974,15
975,10
976,29
977,18
978,18
979,27
980,19
981,20
982,22
983,23
984,10
985,22
986,16
987,14
988,11
989,7
990,14
991,23
992,19
993,10
994,12
995,18
996,16
997,0
998,18
999,15
1000,11
1001,13
1002,29
1003,13
1004,15
1005,8
1006,17
1007,28
1008,6
1009,15
1010,19
1011,22
1012,23
1013,16
1014,12
1015,11
1016,13
1017,18
1018,24
1019,17
1020,21
1021,49
1022,25
1023,28
1024,14
1025,27
1026,33
1027,34
1028,48
1029,19
1030,33
1031,38
1032,32
1033,42
1034,27
1035,40
1036,29
1037,42
1038,22
1039,46
1040,41
1041,46
1042,59
1043,28
1044,42
1045,46
1046,37
1047,45
1048,32
1049,27
1050,37
1051,33
1052,40
1053,22
1054,14
1055,4
1056,5
1057,4
1058,5
1059,3
1060,6
1061,6
1062,5
1063,15
1064,7
1065,5
1066,9
1067,8
1068,10
1069,7
1070,10
1071,8
1072,5
1073,19
1074,14
1075,8
1076,27
1077,19
1078,21
1079,11
1080,19
1081,17
1082,19
1083,15
1084,14
1085,16
1086,17
1087,10
